frame_index,unix_ms,read_ms,is_dup,x0_mv,y0_mv,r_mv,theta_deg,noise_mv,pll_a,pll_b,overload_a,overload_b
97,1780759685306,13.302,0,-1.159129e-7,-5.752706e-7,5.868323e-7,-101.392,8.559708e-7,0,0,0,0
98,1780759685357,13.297,0,-1.054878e-7,-5.862251e-7,5.956404e-7,-100.201,8.549880e-7,0,0,0,0
99,1780759685406,14.422,0,-9.203848e-8,-6.109982e-7,6.178915e-7,-98.566,8.539825e-7,0,0,0,0
100,1780759685457,11.806,0,-7.228557e-8,-6.287753e-7,6.329167e-7,-96.558,8.526085e-7,0,0,0,0
101,1780759685507,13.234,0,-5.596007e-8,-6.497790e-7,6.521842e-7,-94.922,8.515624e-7,0,0,0,0
102,1780759685558,13.373,0,-3.795245e-8,-6.698325e-7,6.709068e-7,-93.243,8.501592e-7,0,0,0,0
103,1780759685608,13.567,0,-1.409937e-8,-6.827252e-7,6.828707e-7,-91.183,8.491430e-7,0,0,0,0
104,1780759685658,14.572,0,4.905607e-9,-7.012202e-7,7.012374e-7,-89.599,8.481810e-7,0,0,0,0
105,1780759685708,13.119,0,2.407738e-8,-7.005301e-7,7.009437e-7,-88.032,8.470095e-7,0,0,0,0
106,1780759685758,14.104,0,4.076123e-8,-7.135022e-7,7.146656e-7,-86.730,8.462188e-7,0,0,0,0
107,1780759685808,14.545,0,5.828680e-8,-7.122803e-7,7.146611e-7,-85.322,8.453039e-7,0,0,0,0
108,1780759685858,12.796,0,7.415876e-8,-7.152527e-7,7.190869e-7,-84.081,8.447438e-7,0,0,0,0
109,1780759685909,13.225,0,8.941584e-8,-7.129049e-7,7.184905e-7,-82.851,8.442766e-7,0,0,0,0
110,1780759685957,12.568,0,1.021888e-7,-6.890113e-7,6.965480e-7,-81.564,8.437762e-7,0,0,0,0
111,1780759686006,11.980,0,1.106239e-7,-6.778933e-7,6.868602e-7,-80.732,8.434772e-7,0,0,0,0
112,1780759686055,14.089,0,1.167082e-7,-6.520312e-7,6.623937e-7,-79.852,8.431729e-7,0,0,0,0
