frame_index,unix_ms,read_us,is_dup,pll_a,pll_b,overload_a,overload_b
204,1780760323932,13370,0,0,0,0,0
205,1780760323982,13678,0,0,0,0,0
206,1780760324032,12267,0,0,0,0,0
207,1780760324082,13291,0,0,0,0,0
208,1780760324132,13762,0,0,0,0,0
209,1780760324182,12127,0,0,0,0,0
210,1780760324231,14201,0,0,0,0,0
211,1780760324282,13651,0,0,0,0,0
212,1780760324334,13336,0,0,0,0,0
213,1780760324385,13163,0,0,0,0,0
214,1780760324435,13336,0,0,0,0,0
215,1780760324486,13542,0,0,0,0,0
216,1780760324535,12619,0,0,0,0,0
217,1780760324584,11717,1,0,0,0,0
218,1780760324632,14306,0,0,0,0,0
219,1780760324682,12710,1,0,0,0,0
220,1780760324732,13573,0,0,0,0,0
221,1780760324784,13311,0,0,0,0,0
222,1780760324833,11972,1,0,0,0,0
223,1780760324881,11786,0,0,0,0,0
224,1780760324929,14352,0,0,0,0,0
225,1780760324980,14537,0,0,0,0,0
226,1780760325030,12648,0,0,0,0,0
227,1780760325080,13323,0,0,0,0,0
228,1780760325132,13231,0,0,0,0,0
229,1780760325182,13331,0,0,0,0,0
230,1780760325232,12195,0,0,0,0,0
231,1780760325281,13534,0,0,0,0,0
232,1780760325330,12518,0,0,0,0,0
233,1780760325380,13337,0,0,0,0,0
234,1780760325432,13261,0,0,0,0,0
235,1780760325483,13246,0,0,0,0,0
236,1780760325531,12699,0,0,0,0,0
237,1780760325582,13327,0,0,0,0,0
238,1780760325631,14573,0,0,0,0,0
239,1780760325682,14637,0,0,0,0,0
240,1780760325732,12387,1,0,0,0,0
241,1780760325782,13575,0,0,0,0,0
242,1780760325833,13317,0,0,0,0,0
243,1780760325883,11754,1,0,0,0,0
244,1780760325931,11687,0,0,0,0,0
245,1780760325981,13110,0,0,0,0,0
246,1780760326029,12416,0,0,0,0,0
247,1780760326079,13333,0,0,0,0,0
248,1780760326129,14606,0,0,0,0,0
249,1780760326180,11881,0,0,0,0,0
250,1780760326230,13263,0,0,0,0,0
251,1780760326281,13256,0,0,0,0,0
252,1780760326331,13541,0,0,0,0,0
253,1780760326382,13300,0,0,0,0,0
254,1780760326434,13333,0,0,0,0,0
255,1780760326482,12606,1,0,0,0,0
256,1780760326532,13739,0,0,0,0,0
257,1780760326581,12701,0,0,0,0,0
258,1780760326632,13210,0,0,0,0,0
259,1780760326680,12522,0,0,0,0,0
260,1780760326729,14509,0,0,0,0,0
261,1780760326780,14502,0,0,0,0,0
262,1780760326831,14570,0,0,0,0,0
263,1780760326882,14568,0,0,0,0,0
264,1780760326932,12651,1,0,0,0,0
265,1780760326982,13533,0,0,0,0,0
266,1780760327031,12555,0,0,0,0,0
267,1780760327082,13308,0,0,0,0,0
268,1780760327132,13712,0,0,0,0,0
269,1780760327183,13495,0,0,0,0,0
270,1780760327232,13150,1,0,0,0,0
271,1780760327281,11992,0,0,0,0,0
272,1780760327330,14210,0,0,0,0,0
273,1780760327380,14567,0,0,0,0,0
274,1780760327431,11816,0,0,0,0,0
275,1780760327480,13317,0,0,0,0,0
276,1780760327532,13271,0,0,0,0,0
277,1780760327580,13096,0,0,0,0,0
278,1780760327630,13449,0,0,0,0,0
279,1780760327679,12982,0,0,0,0,0
280,1780760327728,11660,0,0,0,0,0
281,1780760327777,13328,0,0,0,0,0
282,1780760327827,12148,0,0,0,0,0
283,1780760327877,13283,0,0,0,0,0
284,1780760327927,13290,0,0,0,0,0
285,1780760327978,13294,0,0,0,0,0
286,1780760328029,13319,0,0,0,0,0
287,1780760328080,13348,0,0,0,0,0
288,1780760328131,13586,0,0,0,0,0
289,1780760328181,14563,0,0,0,0,0
290,1780760328231,12890,0,0,0,0,0
291,1780760328281,13594,0,0,0,0,0
292,1780760328332,13403,0,0,0,0,0
293,1780760328382,14534,0,0,0,0,0
294,1780760328432,12684,1,0,0,0,0
295,1780760328482,14275,0,0,0,0,0
